anzsic06,Area,year,geo_count,ec_count
A,A100100,2022,93,190
A,A100200,2022,138,190
A,A100300,2022,6,25
A,A100400,2022,57,50
A,A100500,2022,57,95
A,A100600,2022,12,30
A,A100700,2022,15,30
A,A100800,2022,30,85
A,A100900,2022,54,30
A,A101000,2022,45,20
A,A101100,2022,15,12
A,A101200,2022,63,15
A,A101300,2022,75,3
A,A101400,2022,45,30
A,A101500,2022,51,12
A,A101600,2022,42,21
A,A101700,2022,51,18
A,A101800,2022,48,25
A,A101900,2022,45,21
A,A102000,2022,81,40
A,A102100,2022,39,15
A,A102200,2022,87,190
A,A102300,2022,78,35
A,A102400,2022,39,30
A,A102500,2022,30,90
A,A102600,2022,93,150
A,A102700,2022,39,40
A,A102800,2022,12,15
A,A102900,2022,45,3
A,A103000,2022,24,25
A,A103100,2022,48,75
A,A103200,2022,78,50
A,A103300,2022,57,30
A,A103400,2022,54,70
A,A103500,2022,18,45
A,A103600,2022,51,15
A,A103700,2022,9,15
A,A103800,2022,6,6
A,A103900,2022,0,0
A,A104000,2022,36,40
A,A104100,2022,57,15
A,A104200,2022,9,15
A,A104300,2022,6,3
A,A104400,2022,12,12
A,A104500,2022,6,3
A,A104600,2022,12,0
A,A104700,2022,75,80
A,A104800,2022,183,180
A,A104900,2022,156,110
A,A105100,2022,120,110
A,A105200,2022,3,0
A,A105300,2022,72,90
A,A105400,2022,312,260
A,A105500,2022,6,0
A,A105600,2022,36,30
A,A105700,2022,36,12
A,A105800,2022,0,0
A,A105900,2022,0,0
A,A106000,2022,6,3
A,A106100,2022,6,0
A,A106200,2022,6,6
A,A106300,2022,42,50
A,A106500,2022,9,12
A,A106600,2022,33,30
A,A106700,2022,42,15
A,A106800,2022,3,0
A,A106900,2022,12,9
A,A107000,2022,3,0
A,A107100,2022,51,80
A,A107200,2022,6,6
A,A107300,2022,6,0
A,A107400,2022,3,0
A,A107500,2022,6,3
A,A107600,2022,6,0
A,A107700,2022,30,60
A,A107800,2022,183,110
A,A107900,2022,9,140
A,A108000,2022,66,55
A,A108100,2022,6,0
A,A108200,2022,6,0
A,A108300,2022,12,45
A,A108500,2022,33,35
A,A108600,2022,126,85
A,A108700,2022,12,0
A,A108800,2022,12,3
A,A108900,2022,18,25
A,A109000,2022,78,35
A,A109100,2022,321,430
A,A109200,2022,234,320
A,A109300,2022,51,200
A,A109400,2022,258,190
A,A109500,2022,132,85
A,A109600,2022,27,15
A,A109700,2022,102,130
A,A109800,2022,72,30
A,A109900,2022,6,0
A,A110100,2022,3,3
A,A110200,2022,114,65
A,A110400,2022,237,170
A,A110500,2022,15,6
A,A110700,2022,132,240
A,A110800,2022,123,55
A,A110900,2022,45,35
A,A111100,2022,15,12
A,A111200,2022,129,170
A,A111300,2022,24,25
A,A111400,2022,30,30
A,A111500,2022,45,85
A,A111600,2022,75,21
A,A111700,2022,9,0
A,A111800,2022,9,9
A,A111900,2022,15,0
A,A112100,2022,48,21